"Final Fantasy Card Name","Original MTG Name","Card Image","Card Set","Card Number","Print Variant","Available Variants","Treatment / Frame","Game Number","Rarity","Type Line","Color Identity","Owned","Non-Foil Qty","Foil Qty","Special Foil Qty","Total Quantity Owned","Condition","Price (USD)","Price (Foil)","Storage Location"
"Absolute Virtue","","=IMAGE(""https://cards.scryfall.io/normal/front/a/a/aa192912-c9ee-403f-8a46-a338c9edb4b9.jpg?1783906576"", 1)","FIN","0212","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF11","Mythic","Legendary Creature — Avatar Warrior","UW","No",0,0,0,0,"Near Mint (NM)",2.45,4.15,""
"Absolute Virtue","","=IMAGE(""https://cards.scryfall.io/normal/front/6/6/6663e103-3356-46d3-80a0-32e28d6dfc95.jpg?1783906164"", 1)","PFIN","212s","Promo","Traditional Foil, Promo","Standard","FF11","Mythic","Legendary Creature — Avatar Warrior","UW","No",0,0,0,0,"Near Mint (NM)","",41.11,""
"Absolute Virtue","","=IMAGE(""https://cards.scryfall.io/normal/front/5/0/50716867-4370-4c2f-aae5-9d791a5d5a2e.jpg?1783906470"", 1)","FIN","0476","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF11","Mythic","Legendary Creature — Avatar Warrior","UW","No",0,0,0,0,"Near Mint (NM)",12.42,29.27,""
"Adelbert Steiner","","=IMAGE(""https://cards.scryfall.io/normal/front/1/a/1a67a991-1e52-4676-a2e3-2bc7aa943ab3.jpg?1783906656"", 1)","FIN","0003","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Uncommon","Legendary Creature — Human Knight","W","No",0,0,0,0,"Near Mint (NM)",0.18,0.32,""
"Adelbert Steiner","","=IMAGE(""https://cards.scryfall.io/normal/front/8/1/817ffbb6-5e7c-4498-af65-9e3d0cc5bcd6.jpg?1783906493"", 1)","FIN","0422","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF9","Uncommon","Legendary Creature — Human Knight","W","No",0,0,0,0,"Near Mint (NM)",1.67,15.04,""
"Hero of Light","Adeline, Resplendent Cathar","=IMAGE(""https://cards.scryfall.io/normal/front/0/b/0b9579d8-bc8f-4d74-bfc1-dcdd42568f79.jpg?1783906395"", 1)","FCA","0001","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF3","Rare","Legendary Creature — Human Knight","W","No",0,0,0,0,"Near Mint (NM)",4.75,25.21,""
"Adventurer's Airship","","=IMAGE(""https://cards.scryfall.io/normal/front/0/a/0a1d6dcd-bd41-4f57-a35b-6613811fe4d4.jpg?1783906558"", 1)","FIN","0252","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF1","Common","Artifact — Vehicle","Colorless","No",0,0,0,0,"Near Mint (NM)",0.13,0.24,""
"Adventurer's Inn","","=IMAGE(""https://cards.scryfall.io/normal/front/f/0/f0da2ee1-986e-4cbf-92eb-d96fdb572ca5.jpg?1783906552"", 1)","FIN","0271","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF3","Common","Land — Town","Colorless","No",0,0,0,0,"Near Mint (NM)",0.28,0.31,""
"Aerith Gainsborough","","=IMAGE(""https://cards.scryfall.io/normal/front/e/8/e86328b6-ded2-41df-8b6e-4a770e7b171e.jpg?1783906655"", 1)","FIN","0004","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)",2.42,2.93,""
"Aerith Gainsborough","","=IMAGE(""https://cards.scryfall.io/normal/front/f/7/f7bac30c-1401-4a3b-90ae-4ae1709a214a.jpg?1785258657"", 1)","PFIN","4s","Promo","Traditional Foil, Promo","Standard","FF7","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)","",22.06,""
"Aerith Gainsborough","","=IMAGE(""https://cards.scryfall.io/normal/front/f/a/fa316d6e-9ea7-4496-a3f3-5023a6952473.jpg?1783906513"", 1)","FIN","0374","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF7","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)",10.21,14.12,""
"Aerith Gainsborough","","=IMAGE(""https://cards.scryfall.io/normal/front/6/a/6a1796e1-30c5-4e55-bec8-7013512606b0.jpg?1783906493"", 1)","FIN","0423","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF7","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)",6.05,37.85,""
"Aerith Gainsborough","","=IMAGE(""https://cards.scryfall.io/normal/front/0/2/024a8033-fb41-40a4-b71d-0aa533e0f378.jpg?1783906451"", 1)","FIN","0519","Surge Foil","Surge Foil","Borderless","FF7","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)","",84.26,""
"Aerith, Last Ancient","","=IMAGE(""https://cards.scryfall.io/normal/front/d/0/d041a51c-9a28-4b32-9da3-0f06807959f1.jpg?1783906349"", 1)","FIC","0076","Surge Foil","Surge Foil","Standard","FF7","Rare","Legendary Creature — Human Cleric Druid","GW","No",0,0,0,0,"Near Mint (NM)",0.33,"",""
